[2025-05-06T18:26:41.108Z] BUY | Wallet: 2MoyF5GsSu4VfkLTCoshpjmRAqNwajXRvUueA4xCn2uL | Amount: 0.01 | TX: https://solscan.io/tx/SeDX4VSuXjXuWWNESbCZQzej8KtVEXVzeSBaJGiKeHr2vBMdA7aiDA4QXkKJRDPVUBQvY9fjzEZNJJDVBPNmdCC
[2025-05-06T18:26:41.583Z] BUY | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 0.01 | TX: https://solscan.io/tx/31uLJGoj5qZA98axLtKADwsLp1YKUaMXXWvPUmnAfuYKbkeHjxbjzJC1qYjCwWK4GKx27Fk1T284UhkoqmD8iZd4
[2025-05-06T18:28:43.218Z] SELL | Wallet: 2MoyF5GsSu4VfkLTCoshpjmRAqNwajXRvUueA4xCn2uL | Amount: 268 | TX: https://solscan.io/tx/2J8AamM9QatAQ6RrXLkVLkiTAaoudmpQZAxipXvoFXZbPEpj1UxwVyiKxvwDM3N2oZx6pUfGQtu5BmLMEqgi7gUE
[2025-05-06T18:28:43.525Z] SELL | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 268 | TX: https://solscan.io/tx/4exvCskZQZeL1s2deHex1LHNQ48HGsBgp7XDtRAxBSWCWwN6fLrPJoZPPMey1cLoD6tRQ5JSEoxogUn73Cq21FYs
[2025-05-07T17:36:38.426Z] SELL | Wallet: 2MoyF5GsSu4VfkLTCoshpjmRAqNwajXRvUueA4xCn2uL | Amount: 900 | TX: https://solscan.io/tx/2TkCXKott2b1PUBUEhkK8aJLaxyw5UeEt9vTxpgZ7hM7NTe6ceEzjea9kKqeGkEAGyzcaPjVxDVgLiW79RVcAYxW
[2025-05-07T17:54:57.478Z] SELL | Wallet: 2MoyF5GsSu4VfkLTCoshpjmRAqNwajXRvUueA4xCn2uL | Amount: 545 | TX: https://solscan.io/tx/4HD6rFCANWgS1VUYt85PbBLSr4t9W1XHGphrr8AefSrEvtTZcq1rtLu6W3y5KLUpfv15mf4x1dkWApxEvtHASH5g
[2025-05-09T09:17:08.899Z] SELL | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 37 | TX: https://solscan.io/tx/3jqaxyEbpbD8y6FTTMxTLNmwtr5pxSfrLDkKnkCd3foihMJuLmkxzqaCbqLyStaV7WCxQZbmBXWK6Rr21pR4L6iY
[2025-05-09T09:21:14.116Z] SELL | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 33 | TX: https://solscan.io/tx/2vNDYx6QMW8n9BXSBxTsoGLB7WtdA55cMHTb4vNqJANURUwwwuFDUu3SBAXfwFggfpqeY3jELRJZhJoos46QZfQg
[2025-05-09T09:24:36.053Z] SELL | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 30 | TX: https://solscan.io/tx/4vWBMmrS638duqn4tFXMgE6c29hsJFLNdYJp8oH3BepnuQCVsJho1pYWcdkzMTwxww4Gxzwn2oYkAay8a68oKCMW
[2025-05-09T10:45:38.972Z] BUY | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 27 | TX: https://solscan.io/tx/2y1sdDkJU7X6rwPwKmAVmJqiG1AZBUxCjfnwy1ayoLtGS12bwk3Vv38cMD6D57H5pPfGf3b4JsCZjey5TnpBTdCq
[2025-05-09T10:49:18.706Z] SELL | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 29 | TX: https://solscan.io/tx/4E6Uiy66pe7ibimy2fqKVMfn1WdQt6jBXbMtrE6zK1wUhhDGn2pucEAVt7XRbXbRe3DE8areVn9uVSRC7F4vscMS
[2025-05-09T11:01:54.696Z] BUY ERROR | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 26 | Error: pool must be 'pump' or 'pump-amm' or 'raydium' or 'auto'
[2025-05-09T11:03:39.245Z] BUY ERROR | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 26 | Error: pool must be 'pump' or 'pump-amm' or 'raydium' or 'auto'
[2025-05-09T11:04:48.612Z] BUY ERROR | Wallet: E5QLob9tGKUgDqdGeSySG8XBDaLPPRJ6sL7n9EGnWjgH | Amount: 26 | Error: pool must be 'pump' or 'pump-amm' or 'raydium' or 'auto'
